Introduction,Quarters,HouseType,Area,PeopleNumber,WatchNumber,ReleaseTime,TotalPrice,Price,Dist,Lotitude
当代MOMA 4室3厅 4500万,当代MOMA , 4室3厅 ,378.29,1.0,0.0, 16天以前发布,4500.0,118957.0,东城,"116.444483,39.956622"
金桥国际 1室1厅 500万,金桥国际 , 1室1厅 ,54.41,11.0,0.0, 15天以前发布,500.0,91895.0,东城,"116.448876,39.901694"
新裕家园 1室1厅 850万,新裕家园 , 1室1厅 ,76.76,8.0,1.0, 20天以前发布,850.0,110735.0,东城,"116.429768,39.898926"
北二环商品房小区 南北通透大三居室 业主诚心出售,巷上嘉园 , 3室2厅 ,144.23,65.0,0.0, 4个月以前发布,1600.0,110934.0,东城,"116.406466,39.957716"
东直门东外公馆 业主送地下车位 地下车位有房产证件,东外公馆 , 1室1厅 ,61.41,43.0,5.0, 3个月以前发布,440.0,71650.0,东城,"116.449678,39.942406"
东外公馆 1室0厅 260万,东外公馆 , 1室0厅 ,44.26,18.0,3.0, 1个月以前发布,260.0,58744.0,东城,"116.449678,39.942406"
安乐林二条 2室1厅 590万,安乐林二条 , 2室1厅 ,83.23,12.0,0.0, 18天以前发布,590.0,70888.0,东城,"116.41279,39.868416"
国瑞城西区 1室0厅 580万,国瑞城西区 , 1室0厅 ,58.0,23.0,3.0, 4个月以前发布,580.0,100000.0,东城,"116.425856,39.90406"
交道口 纯底商 面积大 诚意出售,交道口东大街 , 2室0厅 ,384.0,12.0,4.0, 1个月以前发布,4130.0,107553.0,东城,"116.421263,39.946757"
平房 不限购 位于东直门东侧 出行便利,北二里庄 , 3室0厅 ,49.5,47.0,0.0, 2个月以前发布,450.0,90910.0,东城,"116.44953,39.949473"
培新街乙5号院 1室1厅 560万,培新街乙5号院 , 1室1厅 ,55.15,32.0,1.0, 2个月以前发布,560.0,101542.0,东城,"116.439371,39.896367"
安定门商品房 东南三居室 交通便利  临青年湖公园,中景濠庭 , 3室2厅 ,192.0,80.0,0.0, 2个月以前发布,1650.0,85938.0,东城,"116.405688,39.957686"
光明朝南的两居室，户型方正，中间楼层，公房,光明楼 , 2室1厅 ,51.05,73.0,0.0, 1个月以前发布,440.0,86191.0,东城,"116.444721,39.890475"
北官厅胡同  南北通透2居 环境不错,北官厅胡同 , 2室1厅 ,57.73,56.0,0.0, 3个月以前发布,625.0,108263.0,东城,"116.432755,39.953692"
东环居苑 3室1厅 860万,东环居苑 , 3室1厅 ,97.58,58.0,1.0, 3个月以前发布,860.0,88133.0,东城,"116.45208,39.904622"
小黄庄 1室1厅 315万,小黄庄 , 1室1厅 ,37.52,76.0,1.0, 1个月以前发布,315.0,83956.0,东城,"116.41592,39.969527"
当代MOMA 1室1厅 1200万,当代MOMA , 1室1厅 ,100.7,0.0,0.0, 1个月以前发布,1200.0,119166.0,东城,"116.444483,39.956622"
兴隆都市馨园 1室0厅 420万,兴隆都市馨园 , 1室0厅 ,39.97,9.0,0.0, 2个月以前发布,420.0,105079.0,东城,"116.420099,39.901616"
冠城名敦道 1室1厅 560万,冠城名敦道 , 1室1厅 ,63.74,9.0,0.0, 13天以前发布,560.0,87857.0,东城,"116.453086,39.898397"
国瑞城东区 3室2厅 860万,国瑞城东区 , 3室2厅 ,90.01,27.0,0.0, 9天以前发布,860.0,95545.0,东城,"116.43164,39.904426"
东花市 精装一居 有广渠门中学附属小学,东花市北里中区 , 1室1厅 ,47.72,4.0,0.0, 27天以前发布,460.0,96396.0,东城,"116.439746,39.905443"
京城仁合 2室1厅 980万,京城仁合 , 2室1厅 ,114.51,15.0,0.0, 30天以前发布,980.0,85583.0,东城,"116.44905,39.903129"
当代MOMA 4室3厅 4500万,当代MOMA , 4室3厅 ,378.29,1.0,0.0, 16天以前发布,4500.0,118957.0,东城,"116.444483,39.956622"
金桥国际 1室1厅 500万,金桥国际 , 1室1厅 ,54.41,11.0,0.0, 15天以前发布,500.0,91895.0,东城,"116.448876,39.901694"
新裕家园 1室1厅 850万,新裕家园 , 1室1厅 ,76.76,8.0,1.0, 20天以前发布,850.0,110735.0,东城,"116.429768,39.898926"
北二环商品房小区 南北通透大三居室 业主诚心出售,巷上嘉园 , 3室2厅 ,144.23,65.0,0.0, 4个月以前发布,1600.0,110934.0,东城,"116.406466,39.957716"
东直门东外公馆 业主送地下车位 地下车位有房产证件,东外公馆 , 1室1厅 ,61.41,43.0,5.0, 3个月以前发布,440.0,71650.0,东城,"116.449678,39.942406"
东外公馆 1室0厅 260万,东外公馆 , 1室0厅 ,44.26,18.0,3.0, 1个月以前发布,260.0,58744.0,东城,"116.449678,39.942406"
月坛南街19号院 3室1厅 1280万,月坛南街19号院 , 3室1厅 ,100.6,106.0,50.0, 20天以前发布,1280.0,127237.0,西城,"116.355272,39.919868"
恒昌花园 4室2厅 1270万,恒昌花园 , 4室2厅 ,192.67,232.0,140.0, 3个月以前发布,1270.0,65916.0,西城,"116.343785,39.893621"
常青藤嘉园 3室2厅 1099万,常青藤嘉园 , 3室2厅 ,121.56,144.0,40.0, 19天以前发布,1099.0,90409.0,西城,"116.340034,39.885855"
手帕口北街 南北通透两居室，随时可看 ,手帕口北街 , 2室1厅 ,57.53,128.0,50.0, 24天以前发布,490.0,85173.0,西城,"116.349616,39.895733"
平原里小区 南北二居带车位 陶然亭182米 有钥匙,平原里小区 , 2室1厅 ,65.89,80.0,46.0, 29天以前发布,625.0,94856.0,西城,"116.37913,39.887761"
满五年公房 六层的三层 无遮挡 楼下就是花园 看房方便,新风北街 , 2室1厅 ,54.7,47.0,99.0, 27天以前发布,820.0,149909.0,西城,"116.383579,39.968995"
畅柳园 2室1厅 700万,畅柳园 , 2室1厅 ,65.45,56.0,40.0, 16天以前发布,700.0,106952.0,西城,"116.38999,39.88826"
椿树园小三居 全明格局 满五年公房 看房方便,椿树园 , 3室1厅 ,84.29,50.0,42.0, 1个月以前发布,930.0,110334.0,西城,"116.385168,39.900454"
北滨河路2号院 4室1厅 1350万,北滨河路2号院 , 4室1厅 ,93.9,30.0,9.0, 10天以前发布,1350.0,143770.0,西城,"116.35854,39.906424"
7层板楼带电梯 3.3米层高 70年产权住宅 全明格局,迈豪时代 , 2室1厅 ,97.18,412.0,183.0, 3个月以前发布,700.0,72032.0,西城,"116.362365,39.953529"
官园 阜成门 南北通透两居室 中间层 诚心出售,北营房西里 , 2室1厅 ,58.5,85.0,64.0, 3个月以前发布,750.0,128206.0,西城,"116.354733,39.931695"
朗琴园 3室2厅 1350万,朗琴园 , 3室2厅 ,140.25,144.0,209.0, 4个月以前发布,1350.0,96257.0,西城,"116.348282,39.892777"
双旗杆东里三居室1995年建成有电梯,双旗杆东里 , 3室1厅 ,82.2,52.0,148.0, 4个月以前发布,930.0,113139.0,西城,"116.394288,39.972468"
马连道 常青藤嘉园 全南向两居,常青藤嘉园 , 2室1厅 ,96.7,237.0,105.0, 2个月以前发布,820.0,84799.0,西城,"116.340034,39.885855"
月坛北街 3室1厅 825万,月坛北街 , 3室1厅 ,76.6,114.0,62.0, 2个月以前发布,825.0,107703.0,西城,"116.357536,39.924161"
阜成门 北礼士路 带电梯 户型方正两居室 ,北礼士路 , 2室1厅 ,65.2,86.0,57.0, 1个月以前发布,715.0,109663.0,西城,"116.360016,39.939659"
远见名苑 2室2厅 789万,远见名苑 , 2室2厅 ,81.53,77.0,48.0, 1个月以前发布,789.0,96775.0,西城,"116.344985,39.891739"
教场口6号院，中间楼层，东西通透，看房方便,教场口6号院 , 1室1厅 ,56.72,53.0,126.0, 2个月以前发布,728.0,128350.0,西城,"116.387037,39.95917"
新街口西里三区  南北通透两居室  业主诚心出售,新街口西里三区 , 2室1厅 ,73.8,93.0,59.0, 25天以前发布,828.0,112196.0,西城,"116.372605,39.949564"
房本面积53平米，另房本带小院面积9.75米自建面积12米,白纸坊东街 , 2室1厅 ,53.0,96.0,68.0, 6个月以前发布,560.0,105661.0,西城,"116.372042,39.884188"
西城区 小区楼龄新  交通便利 近友谊医院 天坛公园,天桥北里 , 1室1厅 ,61.21,25.0,23.0, 20天以前发布,536.0,87568.0,西城,"116.403304,39.891691"
阳光丽景南北三居室 南区中间位置,阳光丽景 , 3室1厅 ,135.48,151.0,68.0, 1个月以前发布,1900.0,140243.0,西城,"116.392695,39.969608"
平原里小区 低楼层 南北通透 精装 地铁 4号线沿线,平原里小区 , 2室1厅 ,57.36,160.0,78.0, 3个月以前发布,550.0,95886.0,西城,"116.37913,39.887761"
五路通北街 2室1厅 720万,五路通北街 , 2室1厅 ,61.2,69.0,61.0, 3个月以前发布,720.0,117648.0,西城,"116.38899,39.966537"
椿树馆 双南向二居室 中间楼层 成本价已购公房,广安门外南街 , 2室1厅 ,54.01,159.0,120.0, 2个月以前发布,610.0,112943.0,西城,"116.352899,39.889225"
满五年住宅 小区环境好 南北通透,月坛西街西里 , 3室1厅 ,81.8,137.0,67.0, 2个月以前发布,1000.0,122250.0,西城,"116.355743,39.923029"
三里河二区  三里河三小 木樨地地铁 南北带电梯三居 ,三里河二区 , 3室1厅 ,88.1,171.0,81.0, 1个月以前发布,1100.0,124859.0,西城,"116.350282,39.915711"
北露园 1室1厅 498万,北露园 , 1室1厅 ,44.6,80.0,67.0, 1个月以前发布,498.0,111660.0,西城,"116.34798,39.93174"
正规一室一厅，独立厨房卫生间，带燃气，正对小区花园,远见名苑 , 1室1厅 ,50.58,88.0,110.0, 1个月以前发布,540.0,106762.0,西城,"116.344985,39.891739"
新外大街甲8号院 3室0厅 938万,新外大街甲8号院 , 3室0厅 ,66.2,31.0,72.0, 1个月以前发布,938.0,141692.0,西城,"116.378553,39.968971"
满五年，楼层好，朝东   精装修  业主诚心出售,新文化街 , 2室1厅 ,55.5,44.0,32.0, 31天以前发布,750.0,135136.0,西城,"116.374945,39.909543"
朗琴园 满五年 朝北一居室 正对小区花园 诚心出售,朗琴园 , 1室1厅 ,57.69,97.0,181.0, 3个月以前发布,600.0,104005.0,西城,"116.348282,39.892777"
广安门外 朗琴园 采光无遮挡 交通方便,朗琴园 , 2室1厅 ,100.75,35.0,92.0, 3个月以前发布,1050.0,104219.0,西城,"116.348282,39.892777"
长椿街 三庙大院 精装修 中间层,三庙大院 , 2室1厅 ,69.32,112.0,43.0, 1个月以前发布,660.0,95211.0,西城,"116.370121,39.904031"
复兴门外大街 2室1厅 630万,复兴门外大街 , 2室1厅 ,55.4,190.0,141.0, 1个月以前发布,630.0,113719.0,西城,"116.34688,39.912912"
二环边一居室适合小两口或用于出租购房的家庭,政泰家园 , 1室1厅 ,52.05,553.0,107.0, 2个月以前发布,365.0,70125.0,西城,"116.352069,39.879651"
全南向小二居室 全天采光总价低 视野好,三里河东路甲14号院 , 2室1厅 ,49.1,226.0,112.0, 2个月以前发布,550.0,112017.0,西城,"116.351134,39.914348"
德胜片区 带电梯三居 步行便到小学,马甸南村 , 3室1厅 ,71.0,61.0,40.0, 2个月以前发布,923.0,130000.0,西城,"116.384103,39.972885"
常青藤嘉园商品房社区     南北通透两居室 采光好,常青藤嘉园 , 2室1厅 ,95.66,157.0,68.0, 6个月以前发布,860.0,89902.0,西城,"116.340034,39.885855"
诚心出售，随时看房的，交通便利的精装三居。,裕中西里 , 3室1厅 ,78.2,91.0,51.0, 2个月以前发布,975.0,124681.0,西城,"116.391726,39.978788"
西单西绒线 南北通透两居室 中间楼层 无遮挡采光好,西绒线 , 2室1厅 ,72.13,80.0,46.0, 2个月以前发布,860.0,119230.0,西城,"116.386156,39.91037"
新街口西里一区 3室1厅 478万,新街口西里一区 , 3室1厅 ,77.86,150.0,69.0, 4个月以前发布,478.0,61393.0,西城,"116.376346,39.951025"
裕中西里 2室1厅 708万,裕中西里 , 2室1厅 ,58.2,223.0,131.0, 4个月以前发布,708.0,121650.0,西城,"116.391726,39.978788"
羊肉胡同120号院 3室1厅 1030万,羊肉胡同120号院 , 3室1厅 ,83.7,80.0,44.0, 4个月以前发布,1030.0,123059.0,西城,"116.372513,39.928442"
裕中优质南北通透三居室 楼下就是小花园,裕中东里 , 3室1厅 ,81.6,84.0,41.0, 1个月以前发布,1181.0,144731.0,西城,"116.399018,39.978141"
三里河北街5号院  采光好 大四居,三里河北街5号院 , 4室1厅 ,89.1,120.0,48.0, 2个月以前发布,1230.0,138048.0,西城,"116.345483,39.920877"
西城 新街口西里一区 三居室  低楼层 近地铁,新街口西里一区 , 3室1厅 ,80.96,65.0,40.0, 1个月以前发布,900.0,111167.0,西城,"116.376346,39.951025"
【新街口】东西通透~两居室~中间楼层~诚心出售！,新街口西里一区 , 2室1厅 ,74.77,27.0,26.0, 28天以前发布,830.0,111008.0,西城,"116.376346,39.951025"
里仁街3号院 2室1厅 830万,里仁街3号院 , 2室1厅 ,78.49,29.0,24.0, 23天以前发布,830.0,105746.0,西城,"116.377262,39.883712"
欧园，北欧印象，朝东小两居，业主诚心出售。,北欧印象 , 2室1厅 ,64.59,172.0,22.0, 27天以前发布,535.0,82831.0,西城,"116.336945,39.882166"
西城新兴中巷 南北通透两居室 采光好交通方便,新兴中巷 , 2室1厅 ,57.3,75.0,48.0, 3个月以前发布,610.0,106458.0,西城,"116.354981,39.945559"
康乐里小区 2室1厅 1150万,康乐里小区 , 2室1厅 ,95.53,25.0,31.0, 1个月以前发布,1150.0,120382.0,西城,"116.373105,39.901209"
新风街甲1号双南两居大客厅 24小时保安 24小时热水,新风街甲1号 , 2室2厅 ,97.0,78.0,31.0, 2个月以前发布,1280.0,131959.0,西城,"116.383895,39.970656"
白云路七号院，南北通透三居室，明厅明卫，看房方便,白云路七号院 , 3室1厅 ,77.6,31.0,7.0, 13天以前发布,920.0,118557.0,西城,"116.34816,39.904437"
新明胡同   西南向三居室   有电梯 ,新明胡同 , 3室1厅 ,79.4,216.0,176.0, 6个月以前发布,900.0,113351.0,西城,"116.384092,39.96456"
耕天下 南北通透三居 南侧 西侧 北侧带花园,耕天下 , 3室2厅 ,144.63,130.0,53.0, 7个月以前发布,2050.0,141741.0,西城,"116.397604,39.878765"
满五唯 一 荣丰西南向复式 高楼层无遮挡 业主诚售,荣丰2008 , 1室1厅 ,34.53,131.0,82.0, 1个月以前发布,450.0,130322.0,西城,"116.343245,39.900529"
西城第五片区  总价低2居室  诚心出售 看房提前联系,北三环中路12号院 , 2室1厅 ,54.5,37.0,39.0, 1个月以前发布,698.0,128074.0,西城,"116.392381,39.974142"
裕中西里 3室1厅 1030万,裕中西里 , 3室1厅 ,71.6,72.0,86.0, 8个月以前发布,1030.0,143855.0,西城,"116.391726,39.978788"
考拉社区 2008年商品房 正规一室一厅 ,考拉社区 , 1室1厅 ,56.74,14.0,16.0, 19天以前发布,530.0,93409.0,西城,"116.353071,39.880569"
裕中东里 南北通透 精装两居 提前预约看房,裕中东里 , 2室1厅 ,59.0,50.0,18.0, 25天以前发布,760.0,128814.0,西城,"116.399018,39.978141"
玉桃园小区朝东 大两居 精装修,玉桃园三区 , 2室2厅 ,58.2,54.0,15.0, 23天以前发布,700.0,120275.0,西城,"116.369634,39.949548"
广华轩 3室2厅 1058万,广华轩 , 3室2厅 ,124.37,29.0,11.0, 25天以前发布,1058.0,85069.0,西城,"116.34724,39.896217"
马甸南村 高楼层 采光好 两居室 送个书房,马甸南村 , 2室1厅 ,62.1,57.0,13.0, 19天以前发布,920.0,148149.0,西城,"116.384103,39.972885"
信恒大厦  南北正规两居 户型方正 采光良好,信恒大厦 , 2室1厅 ,117.04,25.0,9.0, 24天以前发布,900.0,76897.0,西城,"116.368256,39.894737"
朗琴园 3室2厅 1350万,朗琴园 , 3室2厅 ,139.66,329.0,180.0, 10个月以前发布,1350.0,96664.0,西城,"116.348282,39.892777"
北营房西里朝南1居室 中间楼层 满5年,北营房西里 , 1室1厅 ,45.6,87.0,32.0, 2个月以前发布,535.0,117325.0,西城,"116.354733,39.931695"
华远北街精装南北向两居室诚意出售！！,华远北街 , 2室1厅 ,71.7,59.0,34.0, 1个月以前发布,980.0,136681.0,西城,"116.378329,39.917825"
小红庙楼层好 满五年 装修好 看房提前约,小红庙 , 2室1厅 ,54.84,77.0,33.0, 1个月以前发布,560.0,102116.0,西城,"116.344635,39.887735"
广安门外南街 2室1厅 638万,广安门外南街 , 2室1厅 ,77.51,49.0,20.0, 1个月以前发布,638.0,82312.0,西城,"116.352899,39.889225"
2008年建成 东西通透 大客厅 落地飘窗,南礼士路三条南里 , 2室1厅 ,98.42,153.0,54.0, 3个月以前发布,960.0,97542.0,西城,"116.358612,39.917188"
广外南街50号院 2室2厅 860万,广外南街50号院 , 2室2厅 ,100.74,28.0,18.0, 20天以前发布,860.0,85369.0,西城,"116.354137,39.88835"
长椿街宣武门西大街 东西通透 两居室 总价低 临花园,宣武门西大街 , 2室0厅 ,54.25,47.0,12.0, 14天以前发布,555.0,102305.0,西城,"116.371787,39.905909"
鸭子桥北里 1室1厅 410万,鸭子桥北里 , 1室1厅 ,36.62,88.0,101.0, 5个月以前发布,410.0,111961.0,西城,"116.354792,39.885022"
时代之光名苑 1室1厅 605万,时代之光名苑 , 1室1厅 ,68.42,4.0,52.0, 1个月以前发布,605.0,88425.0,西城,"116.361707,39.955053"
丽水莲花小区  三居室  1440万,丽水莲花 , 3室2厅 ,144.65,90.0,51.0, 4个月以前发布,1440.0,99551.0,西城,"116.3367,39.897727"
畅柳园 2室1厅 700万,畅柳园 , 2室1厅 ,65.93,121.0,36.0, 1个月以前发布,700.0,106174.0,西城,"116.38999,39.88826"
二七剧场路 2室1厅 680万,二七剧场路 , 2室1厅 ,61.5,32.0,40.0, 1个月以前发布,680.0,110570.0,西城,"116.352183,39.915674"
西城区 南北通透三居室 诚心出售,格调 , 3室2厅 ,140.13,169.0,45.0, 2个月以前发布,1300.0,92771.0,西城,"116.333306,39.891491"
德胜门马甸南村  精装电梯房能改两居满五年,马甸南村 , 1室1厅 ,56.6,204.0,53.0, 7个月以前发布,795.0,140460.0,西城,"116.384103,39.972885"
2008年商品房 东南两居室 采光好,茗筑 , 2室1厅 ,85.86,196.0,42.0, 2个月以前发布,705.0,82111.0,西城,"116.329175,39.88082"
北礼士路 3室1厅 915万,北礼士路 , 3室1厅 ,86.1,360.0,86.0, 3个月以前发布,915.0,106272.0,西城,"116.360016,39.939659"
北三环中路12号院，全南两居室，诚售,北三环中路12号院 , 2室1厅 ,55.3,119.0,39.0, 2个月以前发布,650.0,117541.0,西城,"116.392381,39.974142"
南北通透，双阳台三居室，带电梯中间层，采光棒,新明胡同 , 3室1厅 ,96.3,50.0,34.0, 2个月以前发布,1300.0,134995.0,西城,"116.384092,39.96456"
北礼士路60号院 3室1厅 850万,北礼士路60号院 , 3室1厅 ,68.4,111.0,33.0, 1个月以前发布,850.0,124270.0,西城,"116.360209,39.936115"
陶然亭公园地铁口南北通透两居诚心出售,陶然亭路 , 2室1厅 ,58.75,33.0,58.0, 12天以前发布,650.0,110639.0,西城,"116.381486,39.884757"
枫桦 南北通透两居室 采光好 楼层好,枫桦豪景二期 , 2室1厅 ,97.15,28.0,34.0, 2个月以前发布,1290.0,132785.0,西城,"116.379101,39.895125"
西城区， 荣丰2008，二期北向复式，大产权。,荣丰2008 , 2室0厅 ,31.0,354.0,145.0, 3个月以前发布,430.0,138710.0,西城,"116.343245,39.900529"
真武庙小区东西向两居室 交通方便 小区安静 看房方便,真武庙 , 2室1厅 ,53.5,147.0,87.0, 4个月以前发布,588.0,109907.0,西城,"116.356894,39.911427"
贵仁居 正规两居室 业主诚心出售,贵仁居 , 2室1厅 ,113.04,89.0,72.0, 4个月以前发布,900.0,79618.0,西城,"116.380185,39.886547"
贵仁居 正规两居室 业主诚心出售,贵仁居 , 2室1厅 ,113.04,89.0,72.0, 4个月以前发布,900.0,79618.0,西城,"116.380185,39.886547"
广安门内 菜百楼上 富明公寓 央产西向两居,富明公寓 , 2室2厅 ,100.57,18.0,13.0, 3个月以前发布,950.0,94462.0,西城,"116.366087,39.894322"
右安门内西街甲10号院 2室1厅 550万,右安门内西街甲10号院 , 2室1厅 ,56.0,50.0,22.0, 1个月以前发布,550.0,98215.0,西城,"116.366335,39.877194"
裕中西里两居室  精装修 现在双阳台 满五年商品房,裕中西里 , 2室1厅 ,63.8,61.0,30.0, 2个月以前发布,830.0,130095.0,西城,"116.391726,39.978788"
户型方正东向两居，满五年，换房诚心出售,乐城 , 2室2厅 ,91.26,60.0,29.0, 1个月以前发布,700.0,76704.0,西城,"116.346469,39.882483"
朗琴园 1室1厅 625万,朗琴园 , 1室1厅 ,58.86,33.0,28.0, 31天以前发布,625.0,106185.0,西城,"116.348282,39.892777"
满五年业主名下就这一套住房，三居室。,广华轩 , 3室2厅 ,134.72,16.0,4.0, 23天以前发布,1010.0,74971.0,西城,"116.34724,39.896217"
信建里小区 3室1厅 850万,信建里小区 , 3室1厅 ,79.9,45.0,6.0, 18天以前发布,850.0,106383.0,西城,"116.375911,39.881969"
西环景苑，南北三居室，有电梯，看房随时,西环景苑 , 3室1厅 ,107.69,28.0,6.0, 19天以前发布,920.0,85431.0,西城,"116.337032,39.88979"
丽水莲花 1室1厅 598万,丽水莲花 , 1室1厅 ,67.09,50.0,15.0, 21天以前发布,598.0,89134.0,西城,"116.3367,39.897727"
德胜门安德路 大两居 明厅明厨明卫 满五,安德路 , 2室1厅 ,63.7,25.0,12.0, 26天以前发布,820.0,128729.0,西城,"116.395668,39.957522"
前门西大街南向两居，无遮挡看房方便,前门西大街 , 2室1厅 ,52.73,22.0,12.0, 30天以前发布,728.0,138062.0,西城,"116.396395,39.906701"
信和嘉园朝南两居室，高楼层，视野开阔，采光充足。,信和嘉园 , 2室2厅 ,97.37,30.0,9.0, 19天以前发布,1070.0,109891.0,西城,"116.332299,39.885776"
新兴中巷 2室1厅 620万,新兴中巷 , 2室1厅 ,57.3,47.0,11.0, 28天以前发布,620.0,108203.0,西城,"116.354981,39.945559"
六铺炕一区 3室1厅 1150万,六铺炕一区 , 3室1厅 ,78.1,35.0,6.0, 16天以前发布,1150.0,147248.0,西城,"116.399275,39.958385"
宣武门西大街 3室1厅 1008万,宣武门西大街 , 3室1厅 ,69.1,12.0,2.0, 15天以前发布,1008.0,145876.0,西城,"116.371787,39.905909"
三里河居民区 3室1厅 1300万,三里河居民区 , 3室1厅 ,96.3,22.0,5.0, 15天以前发布,1300.0,134995.0,西城,"116.344116,39.921551"
复兴门北大街 3室1厅 930万,复兴门北大街 , 3室1厅 ,77.5,36.0,2.0, 10天以前发布,930.0,120000.0,西城,"116.362988,39.919549"
广安门外车站东街 3室1厅 880万,广安门外车站东街 , 3室1厅 ,79.67,11.0,1.0, 10天以前发布,880.0,110456.0,西城,"116.352517,39.891585"
复兴门外大街 3室1厅 1270万,复兴门外大街 , 3室1厅 ,90.7,29.0,5.0, 9天以前发布,1270.0,140023.0,西城,"116.34688,39.912912"
裕中东里 2室1厅 800万,裕中东里 , 2室1厅 ,62.2,18.0,43.0, 22天以前发布,800.0,128618.0,西城,"116.399018,39.978141"
高层带电梯，楼龄新，视野好，居住舒适度高,莲花池东路甲5号院 , 3室1厅 ,129.71,36.0,41.0, 17天以前发布,1120.0,86347.0,西城,"116.345328,39.903911"
莲花池东路甲5号院 3室1厅 1250万,莲花池东路甲5号院 , 3室1厅 ,144.57,56.0,43.0, 17天以前发布,1250.0,86464.0,西城,"116.345328,39.903911"
免个税，精装环保可直接入住，高层可直观东三环电视台,西豪逸景 , 3室1厅 ,136.72,61.0,22.0, 1个月以前发布,1200.0,87771.0,西城,"116.348379,39.898284"
一瓶两居室 业主换房急售  税费低 ,一瓶 , 1室2厅 ,120.98,88.0,22.0, 3个月以前发布,1050.0,86792.0,西城,"116.390911,39.884464"
格调 3室2厅 1360万,格调 , 3室2厅 ,135.93,15.0,23.0, 1个月以前发布,1360.0,100052.0,西城,"116.333306,39.891491"
椿树园 3室1厅 940万,椿树园 , 3室1厅 ,84.07,108.0,34.0, 4个月以前发布,940.0,111812.0,西城,"116.385168,39.900454"
什刹海辛勤胡同南北通透高楼层两居室,辛勤胡同 , 2室1厅 ,58.3,127.0,65.0, 3个月以前发布,670.0,114923.0,西城,"116.384119,39.949485"
正规二居 精装婚房 地铁房 无遮挡 不临铁路 诚心出售,西豪逸景 , 2室1厅 ,104.41,71.0,30.0, 1个月以前发布,945.0,90509.0,西城,"116.348379,39.898284"
使用面积108.4平米房本面积130.55 央产房 恒昌花园,恒昌花园 , 3室2厅 ,130.55,84.0,27.0, 1个月以前发布,1030.0,78897.0,西城,"116.343785,39.893621"
裕中东里独楼独院管理电梯房双卧朝南94年钢混交通方便,裕中东里 , 2室1厅 ,66.0,72.0,0.0, 27天以前发布,924.0,140000.0,西城,"116.399018,39.978141"
朗琴园 3室1厅 1360万,朗琴园 , 3室1厅 ,132.55,89.0,7.0, 11天以前发布,1360.0,102603.0,西城,"116.348282,39.892777"
裕中西里 2室1厅 850万,裕中西里 , 2室1厅 ,61.0,50.0,7.0, 10天以前发布,850.0,139345.0,西城,"116.391726,39.978788"
朱雀门 平层四居室 看房方便 诚心出售,朱雀门 , 4室2厅 ,241.76,69.0,20.0, 4个月以前发布,3033.0,125455.0,西城,"116.395214,39.88381"
西城德胜片区 97年电梯房 小两居,德外大街2号院 , 2室1厅 ,63.9,81.0,33.0, 2个月以前发布,685.0,107199.0,西城,"116.387765,39.973297"
耕天下平层四居室  六层板楼电梯洋房,耕天下 , 4室2厅 ,239.22,35.0,11.0, 4个月以前发布,2880.0,120392.0,西城,"116.397604,39.878765"
新明胡同 2室1厅 850万,新明胡同 , 2室1厅 ,63.0,74.0,46.0, 4个月以前发布,850.0,134921.0,西城,"116.384092,39.96456"
西绒线胡同 东北朝向 采光好 中间楼层,西绒线 , 2室1厅 ,75.09,89.0,45.0, 5个月以前发布,850.0,113198.0,西城,"116.386156,39.91037"
新安南里 南北通透两居室  满五,新安南里 , 2室1厅 ,57.1,95.0,38.0, 4个月以前发布,560.0,98074.0,西城,"116.367964,39.880515"
西便门西里 东南向两居室 中间层 带电梯,西便门西里 , 2室1厅 ,53.97,133.0,31.0, 2个月以前发布,530.0,98203.0,西城,"116.35881,39.905008"
西城区德胜门 单价低 南北通透 户型好全明格局,新外大街10号院 , 2室1厅 ,67.1,365.0,22.0, 9个月以前发布,900.0,134129.0,西城,"116.378929,39.967071"
一层带花园 南北通透两居室 业主诚心出售,右安门西街 , 2室1厅 ,46.94,312.0,67.0, 4个月以前发布,472.0,100554.0,西城,"116.36638,39.875742"
广安门外南街 2室1厅 530万,广安门外南街 , 2室1厅 ,54.21,73.0,39.0, 2个月以前发布,530.0,97768.0,西城,"116.352899,39.889225"
天桥南里，南北通透两居室，采光好，业主诚心出售！,天桥南里 , 2室1厅 ,68.89,38.0,16.0, 1个月以前发布,680.0,98709.0,西城,"116.402348,39.889132"
远见名苑 4室2厅 1280万,远见名苑 , 4室2厅 ,174.0,183.0,152.0, 7个月以前发布,1280.0,73564.0,西城,"116.344985,39.891739"
万和世家 1室1厅 630万,万和世家 , 1室1厅 ,62.97,34.0,46.0, 3个月以前发布,630.0,100048.0,西城,"116.371638,39.885409"
白菜湾四巷17号院 2室1厅 550万,白菜湾四巷17号院 , 2室1厅 ,50.0,113.0,41.0, 3个月以前发布,550.0,110000.0,西城,"116.354036,39.890734"
双线地铁7+9号线，户型方正，精装修,丽水莲花 , 2室1厅 ,102.23,143.0,42.0, 9个月以前发布,830.0,81190.0,西城,"116.3367,39.897727"
车公庄北里 3室1厅 900万,车公庄北里 , 3室1厅 ,78.9,296.0,37.0, 4个月以前发布,900.0,114069.0,西城,"116.353434,39.940291"
广安门外大街   四居室    业主诚心出售,广安门外大街 , 4室1厅 ,96.02,41.0,14.0, 1个月以前发布,850.0,88524.0,西城,"116.344041,39.896394"
